id,project_id,name,account_id,budget_line/obi_id,budget_line/budget_alloc
project_line_hwf_64,[ACCESS - โครงการ Access] Transportation - ค่าเดินทาง,Petrol and car manternanc,5182-01,SCI-ACESS,120000
project_line_hwf_65,[ACCESS - โครงการ Access] Transportation - ค่าเดินทาง,Per diems for staff,5182-02,SCI-ACESS,72000
project_line_hwf_66,[ACCESS - โครงการ Access] Transportation - ค่าเดินทาง,Accommondation package,5182-03,SCI-ACESS,9000
project_line_hwf_67,[ACCESS - โครงการ Access] Transportation - ค่าเดินทาง,Air fares,5182-04,SCI-ACESS,15000
project_line_hwf_68,[ACCESS - โครงการ Access] Office expenses,Office supply ของใช้สำนักงาน,5183-01,SCI-ACESS,60000
project_line_hwf_69,[ACCESS - โครงการ Access] Office expenses,Utilities -สาธารณูปโภค,5183-02,SCI-ACESS,36000
project_line_hwf_70,[ACCESS - โครงการ Access] Office expenses,Telephone - ค่าโทรศัพท์,5183-03,SCI-ACESS,18000
project_line_hwf_71,[ACCESS - โครงการ Access] Office expenses,Internet - ค่าอินเตอร์เน็ต,5183-04,SCI-ACESS,18000
project_line_hwf_72,[ACCESS - โครงการ Access] Equipment - เครื่องมือ,Computer,5184-01,SCI-ACESS,22000
project_line_hwf_73,[ACCESS - โครงการ Access] Direct Costs,Running cost (Migrant school)  - ศูนย์การเรียน,5185-01,SCI-ACESS,900000
project_line_hwf_74,[ACCESS - โครงการ Access] Direct Costs,Support (Thai school)  - โรงเรียนรัฐ,5185-02,SCI-ACESS,200000
project_line_hwf_75,[ACCESS - โครงการ Access] Direct Costs,Textbooks and material - หนังสือ และ วัสดุ,5185-03,SCI-ACESS,175000
project_line_hwf_76,[ACCESS - โครงการ Access] Direct Costs,Teacher capacity building - พัฒนาศักยภาพครู,5185-04,SCI-ACESS,60000
project_line_hwf_77,[ACCESS - โครงการ Access] Direct Costs,Migrant School Renovation cost - ซ่อมแซมศูนย์การเรียน,5185-05,SCI-ACESS,150000
project_line_hwf_78,[ACCESS - โครงการ Access] Direct Costs,Meeting - ประชุม,5185-06,SCI-ACESS,54000
project_line_hwf_79,[ACCESS - โครงการ Access] Direct Costs,Audit - ตรวจสอบบัญชี,5185-06,SCI-ACESS,20000
project_line_hwf_80,[ACCESS - โครงการ Access] Direct Costs,M&E - วัดผลประเมินผล,5185-07,SCI-ACESS,50000
project_line_hwf_81,[ACCESS - โครงการ Access] Direct Costs,Publication - สื่อสิ่งพิมพ์,5185-08,SCI-ACESS,30000
project_line_hwf_82,[ACCESS - โครงการ Access] Direct Costs,Campaign - รณรงค์,5185-09,SCI-ACESS,60000
project_line_hwf_83,[ACCESS - โครงการ Access] Direct Costs,Provincial Meeting - ประชุมระดับจังหวัด,5185-10,SCI-ACESS,40000
project_line_hwf_84,[ACCESS - โครงการ Access] Direct Costs,Based line survey - ศึกษาข้อมูล,5185-11,SCI-ACESS,30000
project_line_hwf_85,ROY Community Awareness Training - อบรมสร้างความตระหนักรู้,Human Trafficking and CRC - การค้ามนุษย์ และ สิทธิเด็ก,5201-01,HoG I,15000
project_line_hwf_86,ROY Community Awareness Training - อบรมสร้างความตระหนักรู้,Traffic Rule Training - อบรมกฏจราจร,5201-02,HoG I,21000
project_line_hwf_87,ROY Community Awareness Training - อบรมสร้างความตระหนักรู้,Life skill and Adolescence Health - ทักษะชีวิต อนามัยเจริญพันธุ์,5201-03,HoG I,18000
project_line_hwf_88,ROY Leadership Training 2nd group - สร้างผู้นำรุ่น 2,Materials & Equipment - วัสดุ อุปกรณ์,5202-01,HoG I,17000
project_line_hwf_89,ROY Leadership Training 2nd group - สร้างผู้นำรุ่น 2,"Community visit, Study tour - เยี่ยมชุมชน และ ทัศนศึกษา",5202-02,HoG I,55000
project_line_hwf_90,ROY Leadership Training 2nd group - สร้างผู้นำรุ่น 2,Regular training (Sat) - อบรมประจำ (วันเสาร์),5202-03,HoG I,217200
project_line_hwf_91,ROY Leadership Training 1st group - สร้างผู้นำรุ่น 1,Materials & Equipment - วัสดุ อุปกรณ์,5203-01,HoG I,10000
project_line_hwf_92,ROY Leadership Training 1st group - สร้างผู้นำรุ่น 1,"Community visit, Study Tour - เยี่ยมชุมชน ทัศศึกษาดูงาน",5203-02,HoG I,30000
project_line_hwf_93,ROY Leadership Training 1st group - สร้างผู้นำรุ่น 1,Fellow up - ติดตาม,5203-03,HoG I,10000
project_line_hwf_94,ROY Leadership Training 1st group - สร้างผู้นำรุ่น 1,Capacity building - เสริมสร้างศักยภาพ,5203-04,HoG I,50000
project_line_hwf_95,ROY Leadership Training 1st group - สร้างผู้นำรุ่น 1,Mini Project - โครงการขนาดเล็ก,5203-05,HoG I,60000
project_line_hwf_96,ROY Media Production - ผลิตสื่อ,Materials & Equipment - วัสดุ อุปกรณ์,5204-01,HoG I,27100
project_line_hwf_97,ROY Media Production - ผลิตสื่อ,Creative Media workshop - อบรมการผลิตสื่อสร้างสรรค์,5204-02,HoG I,41150
project_line_hwf_98,ROY Media Production - ผลิตสื่อ,ROY Media campaign - สื่อเพื่อการรณรงค์,5204-03,HoG I,109500
project_line_hwf_99,ROY Environment - สิ่งแวดล้อม,Materials & Ingredients - วัสดุ และ ส่วนประกอบ,5205-01,HoG I,57500
project_line_hwf_100,ROY Environment - สิ่งแวดล้อม,Natural Detergent Workshop - อบรมการผลิต,5205-02,HoG I,6000
project_line_hwf_101,ROY Campaign - รณรงค์,Community Road Show - รณรงค์ชุมชน,5206-01,HoG I,63500
project_line_hwf_102,ROY Meeting - ประชุม,Project monthly meeting - ประชุมประจำเดือน,5207-01,HoG I,18000
project_line_hwf_103,ROY Meeting - ประชุม,Network meeting - ประชุมเครือข่าย,5207-02,HoG I,6000
project_line_hwf_104,ROY Project Management - บริหารจัดการโครงการ,Office Equipment - อุปกรณ์สำนักงาน,5208-01,HoG I,37000
project_line_hwf_105,ROY Project Management - บริหารจัดการโครงการ,Telephone Internet - โทรศัพท์ อินเตอร์เน็ต,5208-02,HoG I,39000
project_line_hwf_106,ROY Project Management - บริหารจัดการโครงการ,Stationery & Materials - อุปกรณ์การเรียน วัสดุสิ้นเปลือง,5208-03,HoG I,12000
project_line_hwf_107,ROY Project Management - บริหารจัดการโครงการ,Transportation - ค่าเดินทาง,5208-04,HoG I,12000
project_line_hwf_108,ROY Project Management - บริหารจัดการโครงการ,Maintenance and Repair equipment - ซ่อมบำรุง,5208-05,HoG I,12000
project_line_hwf_109,ROY Project Management - บริหารจัดการโครงการ,Staff capacity building - พัฒนาศักยภาพเจ้าหน้าที่,5208-06,HoG I,10000
project_line_hwf_110,ROY Project Management - บริหารจัดการโครงการ,Electricity & Used water - ไฟฟ้า น้ำใช้,5208-07,HoG I,21500
project_line_hwf_111,ROY Project Management - บริหารจัดการโครงการ,Cleaning supplies - วัสดุเพื่อทำความสะอาด,5208-08,HoG I,6000
project_line_hwf_112,ROY Music Project - โครงการดนตรี,Music training - อบรมดนตรี,5209-01,HoG I,297660
project_line_hwf_113,ROY Music Project - โครงการดนตรี,Maintenance Improvement - ซ่อมบำรุง,5209-02,HoG I,12000
project_line_hwf_114,ROY Music Project - โครงการดนตรี,Professional Skill Course - หลักสูตรทักษะมืออาชีพ,5209-03,HoG I,50000
project_line_hwf_115,ROY Music Project - โครงการดนตรี,Music VDO production - วีดีโอเพลง,5209-04,HoG I,24000
project_line_hwf_116,ROY Music Project - โครงการดนตรี,Music Equipment - วัสดุทางดนตรี,5209-05,HoG I,50000
project_line_hwf_117,ROY Music Project - โครงการดนตรี,Outstanding Student Present - รางวัลเด็กเรียนเก่ง,5209-06,HoG I,3000
project_line_hwf_118,ROY Staff - เจ้าหน้าที่,Coordinator - ผู้ประสานงาน,5211-01,HoG I,444000
project_line_hwf_119,ROY Staff - เจ้าหน้าที่,Staff - เจ้าหน้าที่,5211-02,HoG I,283000
project_line_hwf_120,ROY Staff - เจ้าหน้าที่,Volunteer- อาสาสมัคร,5211-03,HoG I,232500
project_line_hwf_121,Mae Tao Clinic - แม่ตาวคลินิค,Surgical supplies & Equipment - แผนกศัลยกรรม,5301-01,,
project_line_hwf_122,Mae Tao Clinic - แม่ตาวคลินิค,Prosthetic supplies  - แผนกขาเทียม,5301-02,HoG I,164000
project_line_hwf_123,Mae Tao Clinic - แม่ตาวคลินิค,Acupuncture department supplies & equipment - แผนกฝังเข็ม,5301-03,HoG I,82000
project_line_hwf_124,ANCP - โครงการสุขภาพแม่และเด็ก,Personnel- ค่าตอบแทนเจ้าหน้าที่โครงการ,5320-01,SCI-ANCP,224000
project_line_hwf_125,ANCP - โครงการสุขภาพแม่และเด็ก,Support 4 Learning Center - สนับสนุน 4 ศูนย์การเรียน,5320-02,SCI-ANCP,509505
project_line_hwf_126,ANCP - โครงการสุขภาพแม่และเด็ก,Implementing one daycare center - สนับสนุนศูนย์อนุบาล,5320-03,SCI-ANCP,269640.24
project_line_hwf_127,ANCP - โครงการสุขภาพแม่และเด็ก,Conduct mobile health care- หน่วยบริการสุขภาพเคลื่อนที่,5320-04,SCI-ANCP,109720.019185323
project_line_hwf_128,ANCP - โครงการสุขภาพแม่และเด็ก,Strengthening the health referral system- พัฒนาระบบส่งต่อ,5320-05,SCI-ANCP,23030.0233333333
project_line_hwf_129,ANCP - โครงการสุขภาพแม่และเด็ก,Accountant/Finance (10%)- การเงินบัญชี สมทบ 10 %,5320-06,SCI-ANCP,18000
project_line_hwf_130,ANCP - โครงการสุขภาพแม่และเด็ก,Telephone - ค่าโทรศัพท์,5320-07,SCI-ANCP,6397.5
project_line_hwf_131,ANCP - โครงการสุขภาพแม่และเด็ก,M&E / Siraporn - M&E ค่าตอบแทน ศิราพร,5320-08,SCI-ANCP,78750
project_line_hwf_132,ANCP - โครงการสุขภาพแม่และเด็ก,M&E / Transportation - M&E ค่าเดินทาง เครื่องมือ,5320-09,SCI-ANCP,9279.04
project_line_hwf_133,Eldery - โครงการผู้สูงอายุ,Activity - กิจกรรม,5330-01,,
project_line_hwf_134,Eldery - โครงการผู้สูงอายุ,Admin Cost - ค่าจัดการ,5330-02,,
project_line_hwf_135,Sewing workshop,Machine,5401-01,Maro,10000
project_line_hwf_136,Sewing workshop,Furniture & Improvement,5401-02,Maro,50000
project_line_hwf_137,Sewing workshop,Supply - Student uniform,5401-03,Maro,526000
project_line_hwf_138,Sewing workshop,Supply - Student uniform (other donor),5401-04,,
project_line_hwf_139,Sewing workshop,Supply - Teacher uniform,5401-05,Maro,30000
project_line_hwf_140,Sewing workshop,Supply - Teacher uniform (other donor),5401-06,,
project_line_hwf_141,Sewing workshop,Supply - Other,5401-07,,
project_line_hwf_142,Sewing workshop,Supply - Other (other donor),5401-08,,
project_line_hwf_143,Sewing workshop,Running costs: Rent & operation costs,5401-09,Maro,84000
project_line_hwf_144,Sewing workshop,Running costs: Rent & operation costs (other donor),5401-10,,
project_line_hwf_145,Sewing workshop,Running costs: Staff Salary,5401-11,Maro,1293800
project_line_hwf_146,Sewing workshop,Running costs: Staff Salary (other donor),5401-12,,
project_line_hwf_147,Sewing workshop,Staff capacity Building,5401-13,Maro,10000
project_line_hwf_148,Sewing workshop,Staff capacity Building (other donor),5401-14,,
project_line_hwf_149,Sewing workshop,Developing Social Marketing Commercial,5401-15,Maro,300000
project_line_hwf_150,Sanitation assistant,Sanitation assistant/Toilet,5402-01,HoG I,20000
project_line_hwf_151,Sanitation assistant,Sanitation assistant/Drinking water,5402-02,HoG I,10000
project_line_hwf_152,Emergency,General,5403-01,,
project_line_hwf_153,Emergency,General (other),5403-02,,
project_line_hwf_154,[Central Kitchen] Improvement and building Maintenance,Improvement and building Maintenance,5511-01,HoG I,30000
project_line_hwf_155,[Central Kitchen] Equipment kitchen,Gas stove,5512-01,HoG I,10200
project_line_hwf_156,[Central Kitchen] Equipment kitchen,Big pot,5512-02,HoG I,11600
project_line_hwf_157,[Central Kitchen] Equipment kitchen,Big pan,5512-03,HoG I,3800
project_line_hwf_158,[Central Kitchen] Equipment kitchen,Cooking utensils,5512-04,HoG I,20000
project_line_hwf_159,[Central Kitchen] Equipment kitchen,Food container,5512-05,HoG I,4800
project_line_hwf_160,[Central Kitchen] Equipment kitchen,Rice container,5512-06,HoG I,14000
project_line_hwf_161,[Central Kitchen] Equipment kitchen,Drinking water tank,5512-07,HoG I,4500
project_line_hwf_162,[Central Kitchen] Equipment kitchen,Other,5512-08,HoG I,10000
project_line_hwf_163,[Central Kitchen] Equipment kitchen,Other (other donor),5512-09,,
project_line_hwf_164,[Central Kitchen] Furniture,Office furniture,5513-01,HoG I,6600
